오름명,행정시,소재지,비고,표고,면적,형태,데이터기준일자
본지오름,서귀포시,제주특별자치도 서귀포시 성산읍 삼달리 2104-1,32,151.9,120987,말굽형(남향),2022-02-14
볼레오름,서귀포시,제주특별자치도 서귀포시 하원동 산1-1,104,1374.2,453146,말굽형(북서향),2022-02-14
봉아오름,제주시,제주특별자치도 제주시 봉개동 1811-1,36,165.5,57506,말굽형(남서향),2022-02-14
부대악,제주시,제주특별자치도 제주시 조천읍 선흘리 산103-1,109,468.8,455827,말굽형(동북향),2022-02-14
부소악,제주시,제주특별자치도 제주시 조천읍 교래리 산2,129,469.2,423459,말굽형(서남향),2022-02-14
북돌아진오름,제주시,제주특별자치도 제주시 애월읍 봉성리 산41,118,643,338981,말굽형(북서향),2022-02-14
북망산,서귀포시,제주특별자치도 서귀포시 표선면 토산리 산11,42,141.9,83414,원추형,2022-02-14
북오름,서귀포시,제주특별자치도 서귀포시 안덕면 동광리 산93,84,314.3,121783,말굽형(남향),2022-02-14
북오름,제주시,제주특별자치도 제주시 구좌읍 덕천리 산69,86,304.6,168850,말굽형(북향),2022-02-14
불칸디오름,제주시,제주특별자치도 제주시 봉개동 산78-2,91,996.3,204167,말굽형(서남형),2022-02-14
붉은오름,서귀포시,제주특별자치도 서귀포시 성산읍 고성리 62-4,28,33,5343,원추형,2022-02-14
붉은오름,서귀포시,제주특별자치도 서귀포시 표선면 가시리 산158,129,569,585044,원형,2022-02-14
붉은오름,제주시,제주특별자치도 제주시 애월읍 광령리 산183-2,136,1061,411978,말굽형(북서향),2022-02-14
비양봉,제주시,제주특별자치도 제주시 한림읍 협재리 산100-1,104,114.1,260428,복합형,2022-02-14
비치미,제주시,제주특별자치도 제주시 구좌읍 송당리 산255-1,109,344.1,388793,말굽형(북동향),2022-02-14
빈내오름,제주시,제주특별자치도 제주시 애월읍 봉성리 산5-2,93,658.6,359116,말굽형(남서향),2022-02-14
사라봉,제주시,제주특별자치도 제주시 건입동 387-1,98,148.2,233471,말굽형(북서향),2022-02-14
사라오름,서귀포시,제주특별자치도 서귀포시 남원읍 신례리 산2-1,150,1324.7,440686,원형,2022-02-14
사려니,서귀포시,제주특별자치도 서귀포시 남원읍 한남리 산2-1,98,523,260107,말굽형(북동),2022-02-14
사려니 남서쪽,서귀포시,제주특별자치도 서귀포시 남원읍 한남리 산2-1,73,473,77637,원추형,2022-02-14
사제비동산,제주시,제주특별자치도 제주시 애월읍 광령리 산138-1,49,1423.8,95420,말굽형(서향),2022-02-14
산굼부리,제주시,제주특별자치도 제주시 조천읍 교래리 산38,32,437.4,574697,원형,2022-02-14
산방산,서귀포시,제주특별자치도 서귀포시 안덕면 사계리 산16,345,395.2,988332,원추형(종모양),2022-02-14
산세미오름,제주시,제주특별자치도 제주시 애월읍 고성리 산127,102,651.6,382100,말굽형(북향),2022-02-14
살핀오름,제주시,제주특별자치도 제주시 애월읍 광령리 산183-2,76,1076.3,112029,원추형,2022-02-14
삼각봉,제주시,제주특별자치도 제주시 오라동 산107,186,1695.5,237586,원추형,2022-02-14
삼매봉,서귀포시,제주특별자치도 서귀포시 서홍동 809-1,104,153.6,334070,복합형,2022-02-14
삼형제(샛오름),서귀포시,제주특별자치도 서귀포시 색달동 산1-3,123,1014,72363,원추형,2022-02-14
삼형제(우보름),서귀포시,제주특별자치도 서귀포시 색달동 산1-3,45,1025.6,87416,원추형,2022-02-14
삼형제말젯오름,제주시,제주특별자치도 제주시 애월읍 봉성리 산1,123,1075,340627,말굽형(북서향),2022-02-14
삼형제샛오름,제주시,제주특별자치도 제주시 애월읍 광령리 산183-2,49,1112.8,412642,말굽형(북서향),2022-02-14
삼형제큰오름,제주시,제주특별자치도 제주시 애월읍 광령리 산183-2,118,1142.5,367384,말굽형(북서향),2022-02-14
상여오름,제주시,제주특별자치도 제주시 연동 산72,60,245,162799,원추형,2022-02-14
새끼오름,서귀포시,제주특별자치도 서귀포시 표선면 성읍리 3196-1,51,301.2,114795,말굽형(서향),2022-02-14
새별오름,제주시,제주특별자치도 제주시 애월읍 봉성리 산59-8,119,519.3,522216,복합형,2022-02-14
새신오름,제주시,제주특별자치도 제주시 한경면 청수리 3369,41,141.2,214735,원형,2022-02-14
샛개오리,제주시,제주특별자치도 제주시 봉개동 산78-1,58,658.3,73832,원추형,2022-02-14
샛궤펜이,제주시,제주특별자치도 제주시 조천읍 교래리 산137-1,37,757,48413,원형,2022-02-14
샛오름,제주시,제주특별자치도 제주시 애월읍 곽지리 산14,60,100,155467,말굽형(남서향),2022-02-14
생기악,서귀포시,제주특별자치도 서귀포시 남원읍 신례리 산34-1,65,260,167924,말굽형(북서향),2022-02-14
서삼봉,제주시,제주특별자치도 제주시 오등동 산 50,48,448.4,21355,말굽형(서남향),2022-02-14
서수모루,제주시,제주특별자치도 제주시 구좌읍 송당리 산67-2,28,253.7,39359,말굽형(동남향),2022-02-14
서우봉,제주시,제주특별자치도 제주시 조천읍 함덕리 169-1,106,111.3,835758,원추형,2022-02-14
선소오름,제주시,제주특별자치도 제주시 한림읍 금악리 2785-1,46,226,240943,말굽형(동향),2022-02-14
설오름,서귀포시,제주특별자치도 서귀포시 신효동 1028,15,50.1,27896,원추형,2022-02-14
설오름,서귀포시,제주특별자치도 서귀포시 표선면 가시리 산1,98,238,273810,말굽형(서향),2022-02-14
섯궤펜이,제주시,제주특별자치도 제주시 조천읍 교래리 산137-1,59,774,72363,원형,2022-02-14
섯알오름,서귀포시,제주특별자치도 서귀포시 대정읍 상모리 1618,21,40.7,29094,말굽형(서향),2022-02-14
성널오름,서귀포시,제주특별자치도 서귀포시 남원읍 신례리 산2-1,165,1215.2,645717,원추형,2022-02-14
성불오름,제주시,제주특별자치도 제주시 구좌읍 송당리 산266,97,361.7,380707,말굽형(동향),2022-02-14
성산일출봉,서귀포시,제주특별자치도 서귀포시 성산읍 성산리 1,174,179,453030,원형,2022-02-14
성진이오름,제주시,제주특별자치도 제주시 봉개동 산78-2,75,700.5,128381,원형,2022-02-14
세미소,제주시,제주특별자치도 제주시 한림읍 금악리 363,30,374.8,160098,원형(화구호),2022-02-14
세미오름,제주시,제주특별자치도 제주시 아라동 산24-2,139,574.3,412000,원형,2022-02-14
세미오름,제주시,제주특별자치도 제주시 조천읍 대흘리 산27-1,126,421,261938,말굽형(남서형),2022-02-14
